#Keyword Types: 25
#Keyword Tokens: 788
#Search Hits: 0
1	65	+	199.13	0.0337	мистер
2	195	+	65.58	0.0449	фио
3	18	+	59.38	0.0099	класс
4	26	+	48.24	0.0137	русский
5	8	+	40.44	0.0045	ich
6	12	+	37.52	0.0067	ребята
7	107	+	35.51	0.0336	ты
8	7	+	35.39	0.0039	ребятишки
9	7	+	32.95	0.0039	поляк
10	15	+	31.88	0.0082	мисс
11	18	+	31.59	0.0097	мама
12	6	+	27.92	0.0034	запирать
13	41	+	26.38	0.0188	она
14	6	+	24.3	0.0034	папа
15	189	+	23.22	0.0377	я
16	6	+	21.59	0.0034	дружить
17	5	+	21.05	0.0028	дикий
18	19	+	21.03	0.01	раз
19	6	+	20.47	0.0034	неправда
20	9	+	20.36	0.005	прямо
21	4	+	20.22	0.0022	meine
22	4	+	20.22	0.0022	mutter
23	5	+	18.83	0.0028	свинья
24	5	+	18.19	0.0028	наказывать
25	5	+	17.05	0.0028	убегать
